2025.08.01 12:20:21 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/scala_wordle_bot/wordle_bot.scala. Using presentation compiler with project's scala-library version: 3.3.6[0m
2025.08.01 13:56:45 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:56:45 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:56:45 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt[0m
2025.08.01 13:56:45 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt[0m
2025.08.01 13:56:45 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:56:45 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:56:45 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt[0m
2025.08.01 13:56:47 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:59:20 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:59:20 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:59:20 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt[0m
2025.08.01 13:59:20 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt[0m
2025.08.01 13:59:20 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:59:20 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 13:59:20 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/build.sbt[0m
2025.08.01 14:01:05 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 14:01:05 WARN  no build target for: /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala[0m
2025.08.01 14:01:05 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 14:01:05 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 14:01:05 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 14:01:07 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 14:01:08 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 14:08:47 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
2025.08.01 14:12:08 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/wordle_solver_scala_gemini/src/main/scala/WordleSolver.scala. Using presentation compiler with project's scala-library version: 3.7.0[0m
